id,name,country
8af7c22c-7ff5-4cd5-a5f8-22fb1cf1af11,Penguin Random House,USA
51855b3d-bd29-447c-8c36-69d9bfc50ca3,HarperCollins,USA
0cb74062-7924-4023-b251-e3b38a0c2b51,Simon & Schuster,USA
237f7814-e4f8-43bb-9ee3-c121df0af0d3,Macmillan Publishers,UK
db892412-1ce6-48af-89a3-a7de3437bd48,Hachette Livre,France
9ab36bb3-e6ea-4c5f-9ba2-fc20f1cd65d8,Oxford University Press,UK
5c561630-7cf8-4bb3-a5cc-562a2b6d71b4,Cambridge University Press,UK
8b6526fb-b59d-4d74-b7ab-4ff26c5d0a63,Scholastic,USA
b0e6986b-a91a-4c30-85ea-733248e9188c,Bloomsbury,UK
2de25359-cae7-4cf7-8c75-f4a73bfd68c7,Tor Books,USA
51e9c0f8-bb9d-4638-9b79-da51c89b6f8c,Bantam Books,USA
c1b35283-3a7d-4fdb-9fcc-28e0f4cc38ec,Del Rey Books,USA
0dc93eae-1bdd-45d0-9d55-845c8b4e2cb2,Orbit Books,USA
bd30f3c6-7446-4f14-9d12-7f1acc45bea5,DAW Books,USA
dc01c4d1-1257-4f9b-aedf-3f29aad11488,Ace Books,USA
0b8b8a7c-e368-4acb-b155-81924ea4b07f,Vintage Books,USA
1d87eacf-aa35-47a8-8202-98a176659a64,Knopf Doubleday,USA
7bcd73c8-0e50-4066-8e90-f08e10f8c831,Canongate Books,UK
3130a88e-e84b-4ca4-a003-ed566a56324d,Faber & Faber,UK
c8c38269-c4a7-42b9-9b08-170f4481f9ce,Alma Books,UK
04e3e96d-87c1-4249-86af-27af4600db5f,Harvill Secker,UK
7fa0bb41-48c7-4dae-98d8-02c8d81f169c,Scribner,USA
8dd43b88-f5ac-442e-aa57-46413b9ec579,Picador,UK
af8f1bb2-e4a4-4372-ae91-7826edd016ce,Avon Books,USA
9d00c0bd-fd48-4d8c-bb29-80f88373052a,New Directions,USA
b7e26c7b-0222-4ce4-a5ed-6374d8f28f68,Houghton Mifflin,USA
e1cccd97-c878-45e6-a3c6-7df181ff1035,Secker & Warburg,UK
cd8d2f9a-c6b6-4796-b350-e14aa61a5cce,Everyman's Library,USA
9eb1e3bc-df69-49d4-a125-85b8632b7384,Europa Editions,Italy
5fa4c0f1-eafd-4b8d-bdee-fb566f22dbad,Phoenix Publishing,USA
