id,product_id,order_id,quantity,price
44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,33333333-0000-0000-0000-000000000001,1,55000.00
44444444-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000001,1,8900.00
44444444-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000002,33333333-0000-0000-0000-000000000002,1,120000.00
44444444-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000007,33333333-0000-0000-0000-000000000002,2,1500.00
44444444-0000-0000-0000-000000000005,11111111-0000-0000-0000-000000000005,33333333-0000-0000-0000-000000000003,1,42000.00
44444444-0000-0000-0000-000000000006,11111111-0000-0000-0000-000000000004,33333333-0000-0000-0000-000000000003,2,4500.00
44444444-0000-0000-0000-000000000007,11111111-0000-0000-0000-000000000010,33333333-0000-0000-0000-000000000004,1,9900.00
44444444-0000-0000-0000-000000000008,11111111-0000-0000-0000-000000000006,33333333-0000-0000-0000-000000000004,1,88000.00
44444444-0000-0000-0000-000000000009,11111111-0000-0000-0000-000000000011,33333333-0000-0000-0000-000000000005,1,21000.00
44444444-0000-0000-0000-000000000010,11111111-0000-0000-0000-000000000012,33333333-0000-0000-0000-000000000005,1,39000.00
44444444-0000-0000-0000-000000000011,11111111-0000-0000-0000-000000000013,33333333-0000-0000-0000-000000000006,1,12000.00
44444444-0000-0000-0000-000000000012,11111111-0000-0000-0000-000000000014,33333333-0000-0000-0000-000000000006,1,21000.00
44444444-0000-0000-0000-000000000013,11111111-0000-0000-0000-000000000015,33333333-0000-0000-0000-000000000007,1,6000.00
44444444-0000-0000-0000-000000000014,11111111-0000-0000-0000-000000000016,33333333-0000-0000-0000-000000000007,1,9000.00
44444444-0000-0000-0000-000000000015,11111111-0000-0000-0000-000000000017,33333333-0000-0000-0000-000000000008,1,15000.00
44444444-0000-0000-0000-000000000016,11111111-0000-0000-0000-000000000018,33333333-0000-0000-0000-000000000008,1,25000.00
44444444-0000-0000-0000-000000000017,11111111-0000-0000-0000-000000000019,33333333-0000-0000-0000-000000000009,1,38000.00
44444444-0000-0000-0000-000000000018,11111111-0000-0000-0000-000000000020,33333333-0000-0000-0000-000000000009,2,1200.00
44444444-0000-0000-0000-000000000019,11111111-0000-0000-0000-000000000021,33333333-0000-0000-0000-000000000010,1,85000.00
44444444-0000-0000-0000-000000000020,11111111-0000-0000-0000-000000000022,33333333-0000-0000-0000-000000000010,1,140000.00
44444444-0000-0000-0000-000000000021,11111111-0000-0000-0000-000000000023,33333333-0000-0000-0000-000000000011,1,30000.00
44444444-0000-0000-0000-000000000022,11111111-0000-0000-0000-000000000024,33333333-0000-0000-0000-000000000011,1,16000.00
44444444-0000-0000-0000-000000000023,11111111-0000-0000-0000-000000000025,33333333-0000-0000-0000-000000000012,1,26000.00
44444444-0000-0000-0000-000000000024,11111111-0000-0000-0000-000000000026,33333333-0000-0000-0000-000000000012,1,28000.00
44444444-0000-0000-0000-000000000025,11111111-0000-0000-0000-000000000027,33333333-0000-0000-0000-000000000013,1,19000.00
44444444-0000-0000-0000-000000000026,11111111-0000-0000-0000-000000000028,33333333-0000-0000-0000-000000000013,1,32000.00
44444444-0000-0000-0000-000000000027,11111111-0000-0000-0000-000000000029,33333333-0000-0000-0000-000000000014,1,7000.00
44444444-0000-0000-0000-000000000028,11111111-0000-0000-0000-000000000030,33333333-0000-0000-0000-000000000014,1,22000.00
44444444-0000-0000-0000-000000000029,11111111-0000-0000-0000-000000000001,33333333-0000-0000-0000-000000000015,1,55000.00
44444444-0000-0000-0000-000000000030,11111111-0000-0000-0000-000000000002,33333333-0000-0000-0000-000000000015,1,120000.00
44444444-0000-0000-0000-000000000031,11111111-0000-0000-0000-000000000003,33333333-0000-0000-0000-000000000016,1,8900.00
44444444-0000-0000-0000-000000000032,11111111-0000-0000-0000-000000000004,33333333-0000-0000-0000-000000000016,1,4500.00
44444444-0000-0000-0000-000000000033,11111111-0000-0000-0000-000000000005,33333333-0000-0000-0000-000000000017,1,42000.00
44444444-0000-0000-0000-000000000034,11111111-0000-0000-0000-000000000006,33333333-0000-0000-0000-000000000017,1,88000.00
44444444-0000-0000-0000-000000000035,11111111-0000-0000-0000-000000000007,33333333-0000-0000-0000-000000000018,2,1500.00
44444444-0000-0000-0000-000000000036,11111111-0000-0000-0000-000000000008,33333333-0000-0000-0000-000000000018,1,3500.00
44444444-0000-0000-0000-000000000037,11111111-0000-0000-0000-000000000009,33333333-0000-0000-0000-000000000019,1,56000.00
44444444-0000-0000-0000-000000000038,11111111-0000-0000-0000-000000000010,33333333-0000-0000-0000-000000000019,1,9900.00
44444444-0000-0000-0000-000000000039,11111111-0000-0000-0000-000000000011,33333333-0000-0000-0000-000000000020,1,21000.00
44444444-0000-0000-0000-000000000040,11111111-0000-0000-0000-000000000012,33333333-0000-0000-0000-000000000020,1,39000.00
